Northern Colo.|72|Kansas|109
Fla. Atlantic|55|Michigan St.|82
Fairleigh Dickinson|54|Villanova|91
Morgan St.|48|Virginia|86
Miami (OH)|72|Xavier|81
North Carolina|91|Temple|67
Jackson St.|52|Oregon|80
Northern Ky.|61|West Virginia|107
Eastern Ill.|49|Indiana|88
Texas-Rio Grande Valley|59|Miami (FL)|86
Southern Utah|71|Utah|82
N.C. A&amp;T|40|Purdue|81
Samford|45|Louisville|86
Pacific|61|Arizona|79
Albany (NY)|65|Kentucky|78
S.C. Upstate|64|Texas A&amp;M|104
Mt. St. Mary's|56|Maryland|80
Siena|74|Duke|92
Gardner-Webb|59|Iowa|76
Colorado|62|Iowa St.|68
Stephen F. Austin|55|Baylor|97
Texas|71|Washington|77
Rice|65|Cal|97
University of the Southwest|63|Abilene Christian|94
Kennesaw St.|64|Alabama|77
Sacramento St.|66|Arizona St.|63
Southern U.|68|Arkansas|86
Ferrum|54|Army|93
UAB|74|Auburn|75
Trinity (FL)|54|Bethune-Cookman|108
Northeastern|87|Boston U.|84
Ball St.|53|Bradley|54
Utah Valley|54|BYU|85
Shenandoah|61|Bucknell|107
Pitt.-Bradford|49|Buffalo|109
North Dakota St.|79|UC-Davis|71
UC-San Diego|73|UC-Irvine|89
Montreat|42|Campbell|87
Hartford|92|Central Conn. St.|83
Jacksonville St.|83|Central Mich.|89
Elon|85|Charlotte|74
Illinois Tech|59|Chicago St.|137
Western Caro.|72|Cincinnati|97
N.C. Central|40|Clemson|74
Nevada|73|Coastal Caro.|56
South Carolina St.|54|Col. of Charleston|74
Kean|62|Columbia|107
Maine|56|Connecticut|100
Southeast Mo. St.|53|Dayton|84
Delaware|62|Delaware St.|56
Milwaukee|71|Denver|58
Simpson|52|Drake|97
Seton Hill|71|Duquesne|96
Grambling|53|East Carolina|61
Coppin St.|80|Eastern Ky.|107
Vermont|50|Eastern Mich.|70
Johnson|71|Florida A&amp;M|103
Trinity Baptist|39|FIU|71
Pepperdine|66|Fresno St.|69
Presbyterian|53|Furman|63
Colgate|66|George Mason|53
Lafayette|76|George Washington|85
Chattanooga|92|Georgia|90
Webber|49|Ga. Southern|116
Middle Georgia State|54|Georgia St.|73
Cornell|81|Georgia Tech|116
Portland St.|72|Grand Canyon|82
MIT|39|Harvard|59
Montana St.|76|Hawaii|87
Canisius|85|Hofstra|96
Great Falls|72|Idaho St.|78
North Florida|93|Illinois|81
San Francisco|78|Ill.-Chicago|75
Texas Lutheran|65|Incarnate Word|86
IUPUI|72|Indiana St.|70
Md.-East. Shore|53|Kansas St.|80
Austin|58|Lamar|101
Covenant|62|Liberty|64
Randolph|49|Longwood|69
Louisiana Col.|68|La.-Lafayette|108
McMurry|43|La.-Monroe|88
McNeese St.|70|LSU|81
Millsaps|33|Louisiana Tech|95
UTSA|64|Loyola (IL)|76
Cal St. Fullerton|74|Loyola Marymount|79
Tennessee St.|86|Loyola Maryland|71
Holy Cross|67|Marist|64
Belmont|83|Marquette|80
Allen|70|Mercer|96
Northern Mich.|44|Michigan|70
UMKC|58|Minnesota|76
Northwestern St.|76|Mississippi|90
Eastern Wash.|88|Mississippi St.|106
Wofford|74|Missouri|83
